total_area,kitchen_area,rooms,floor,floors_total,ceiling_height,house_year_clean,renovation_ord,district_Алатауский р-н,district_Алмалинский р-н,district_Ауэзовский р-н,district_Бостандыкский р-н,district_Жетысуский р-н,district_Медеуский р-н,district_Наурызбайский р-н,district_Турксибский р-н,dist_to_metro_km,schools_count,universities_count,malls_count,parks_count,kindergarten_density,has_complex,balcony_count,parking_level,price_clean
68.0,8.0,3.0,1.0,9.0,2.8,1987,-1,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,0,2,0,49500000
53.0,10.0,2.0,2.0,5.0,2.8,1983,-1,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,0,1,0,51500000
53.0,10.0,2.0,5.0,5.0,2.8,1978,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,0,2,0,42800000
72.0,9.0,3.0,3.0,5.0,2.7,1991,2,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,0,2,0,42000000
154.0,11.0,4.0,1.0,18.0,2.8,2012,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,1,0,2,150000000
40.0,13.0,1.0,6.0,6.0,2.7,2010,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,0,1,0,31000000
20.0,6.0,1.0,3.0,4.0,2.5,1964,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,0,0,0,15000000
300.0,11.0,4.0,4.0,9.0,3.0,2022,-1,False,False,False,False,False,False,False,False,14.931964856764512,0.0,0.0,0.0,0.0,15.306989492919142,1,0,0,320000000
63.22,11.0,2.0,4.0,9.0,2.85,2025,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,29081200
64.56,11.0,2.0,4.0,9.0,2.85,2025,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,29697600
114.19,11.0,4.0,4.0,9.0,3.0,2026,-1,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,0,0,79818810
70.52,11.0,2.0,4.0,9.0,2.85,2025,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,31381400
65.44,11.0,2.0,4.0,9.0,3.0,2026,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,62364320
43.25,11.0,1.0,4.0,9.0,3.0,2026,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,36243500
217.9,11.0,5.0,4.0,9.0,3.3,2024,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,334476500
113.51,11.0,4.0,4.0,9.0,3.0,2026,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,84337930
87.76,11.0,3.0,4.0,9.0,2.7,2026,-1,False,False,False,False,True,False,False,False,4.9878276096819105,38.0,0.0,12.0,15.0,14.0,1,0,0,66522080
103.9,11.0,4.0,4.0,9.0,2.7,2025,-1,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,0,0,73457300
39.22,11.0,1.0,4.0,9.0,3.0,2026,-1,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,0,0,31297560
80.0,13.3,3.0,6.0,10.0,2.8,2007,2,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,0,1,2,49200000
48.7,6.0,2.0,7.0,9.0,2.5,1988,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,0,1,0,27500000
133.0,22.8,3.0,5.0,6.0,3.2,2011,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,1,1,128900000
40.0,11.0,2.0,5.0,9.0,2.7,2025,3,False,False,False,False,False,False,True,False,14.931964856764512,6.0,0.0,0.0,1.0,6.0,1,0,0,26999999
